Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Education, Language Spoken and Literacy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Highest Qualification Attained (HQA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Singapore Residents Aged 25 Years & Over By Highest Qualification Attained, Sex And Age Group, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 03/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number
  30 - 34 Years,31200,37300,31100,28800,28100,26800,27200,29900,31200,30900,29900,33100,32000,31200,28900,27300,26000,27500,25000,22900,21800,21400,22900,21200,21100,19800,15900,14800,15200,11800,13900,11900,10000
  35 - 39 Years,32800,31900,30900,31300,30900,33300,32100,31200,31100,31000,30600,29300,29400,26500,27100,24400,23600,22700,21100,21400,19400,20400,19700,17900,14900,14600,13600,13600,11300,9700,8600,7100,7100
  40 - 44 Years,35000,33300,29500,31500,32700,31100,29700,28000,26800,25000,24700,25300,24200,21100,20600,20200,18900,20000,16700,15800,15700,13700,15700,13200,13000,11000,9400,8900,7300,7200,5800,5800,4800
  45 - 49 Years,34500,30100,27800,29600,26900,25700,24400,25600,23700,21700,23600,21600,19500,20700,18400,17700,14900,15600,13000,12100,11400,10600,10900,7900,8600,7400,7000,5800,4600,3700,3500,2900,2600
  50 - 54 Years,27700,21800,22800,23800,22100,20300,21800,20500,20400,17700,17500,19100,15900,14500,13100,10800,10300,10200,8800,8600,7200,6900,7300,4500,4700,4000,3300,2900,2900,3300,2500,2100,1900
  55 - 59 Years,22000,19400,17300,21200,17300,14800,16400,16100,15700,14500,12500,12100,11400,7900,9100,7600,7200,6800,5200,5000,3900,3100,3700,3200,2700,2500,2700,2200,1700,1300,1300,1200,1100
  60 - 64 Years,18300,18100,15000,14500,12600,10900,12000,11200,10700,11000,8500,7400,7200,5600,4700,3800,3400,3500,2500,2400,2400,1800,2500,1900,1400,1200,1300,700,1000,1000,700,600,500
  65 Years & Over,27000,23600,20600,20100,16600,14300,14500,13100,12600,9200,9100,7600,6500,6600,4800,3100,3700,3800,3100,2000,1800,1700,2200,1600,1200,1000,1200,600,700,800,500,700,400
Total Males - University,564400,540100,485400,475700,468400,453400,415500,401000,395700,379700,353700,331300,321900,302400,285900,265700,259300,224200,224000,209100,183500,167700,144800,143800,132900,119300,103600,86500,82900,76800,68400,56900,48100
  25 - 29 Years,56900,69500,63300,63500,60300,58600,57500,51800,50700,47900,45400,44300,49600,44100,43100,35800,38200,38800,37100,36800,32600,33200,31800,32500,28500,27800,23000,21100,20300,19500,17300,14200,11800
  30 - 34 Years,90000,87200,76800,71900,70100,67000,68300,67300,66900,63800,63100,61200,64400,62100,57600,60000,55000,52100,51000,49800,42500,39300,35400,34900,28400,27600,25000,20000,17700,15700,14800,11800,11000
  35 - 39 Years,81800,85900,73500,72700,75700,76600,71500,71100,72600,71200,68300,69200,66200,60900,60500,57400,54800,45900,44600,44900,39800,34200,28100,26200,27000,20800,18100,15400,15300,13700,11400,10900,9200
  40 - 44 Years,83200,82100,71200,73500,75700,77900,67900,69400,66400,65300,60200,54800,50100,50800,48200,42700,40500,35200,36000,28700,26700,23100,18400,18100,18100,16300,15100,12100,10500,10300,9600,8500,6900
  45 - 49 Years,81600,70100,67400,67800,65200,63000,55200,50200,52700,50100,45200,41300,36000,33500,30500,26300,26800,20700,20900,19700,17100,14900,12700,13000,13200,12600,9500,8100,7600,7100,5800,4500,3700
  50 - 54 Years,61800,48300,49100,50700,48000,42600,37300,37800,32500,31800,28900,23800,22200,21200,19100,17300,18400,14100,14000,12800,12300,11900,8700,8700,7300,6600,4500,3800,4700,4300,4600,3500,2700
  55 - 59 Years,46000,36500,34900,30900,30600,28300,23700,22800,21200,21800,17600,14600,14800,13300,12500,12700,12000,8400,10100,7300,5600,4800,4300,4800,4600,3800,4200,2700,3300,3000,2500,1400,1300
  60 - 64 Years,24800,24900,20200,19100,18900,16700,15100,14100,15400,14700,12700,10500,9300,7900,6800,6700,5700,4200,4700,4700,3600,3100,2800,2300,3100,2000,1700,1500,1800,1500,1100,800,700
  65 Years & Over,38300,35700,29000,25600,24100,22700,19000,16600,17200,13200,12300,11600,9200,8700,7700,6900,7900,4900,5700,4300,3400,3200,2600,3200,2700,1800,2600,1800,1800,1800,1300,1200,900
Total Females,1606500,1547300,1564900,1527800,1500500,1482600,1460600,1434900,1422700,1391400,1367300,1352400,1333600,1312000,1263700,1269600,1244600,1190900,1175300,1166900,1131500,1095700,1061300,1058000,1039100,1005200,977300,944300,922600,892900,875900,847800,811500
  25 - 29 Years,110300,129200,140200,125700,130100,124000,130700,121700,118600,118100,115800,120000,131200,124400,121100,124000,124700,123800,121500,125200,125400,129700,131800,134400,128300,129700,128300,121300,130000,126800,137100,135600,139400
  30 - 34 Years,156100,170600,155800,143700,138900,140000,142300,143100,147600,145700,145200,149700,152600,148500,146900,152100,151100,151700,148300,152200,150000,145700,143500,149400,150900,149500,153600,148300,147700,144300,143500,143300,143500
  35 - 39 Years,162400,160300,158600,160000,161600,161400,150700,159700,148700,156100,159400,159800,164500,168700,159800,155500,153900,156500,150800,156200,160300,161300,154400,152500,153600,151200,151800,149600,145100,139400,134500,127700,123900
  40 - 44 Years,179400,161400,159100,163300,161600,165200,160300,164100,158300,162800,162900,158900,155400,157800,161100,161200,162500,157700,159500,156100,155000,155200,151600,150500,150600,142200,138200,130300,123300,123000,116600,114500,100700
  45 - 49 Years,179300,154500,160700,166600,162100,162600,156500,154900,154000,159600,161400,161500,160300,160600,155900,165000,160800,149700,150400,145800,141200,132100,128100,126100,125700,120900,115100,106200,94100,87000,78400,71300,63300
  50 - 54 Years,156500,135200,150800,160500,159700,154100,163100,160100,162800,162300,158500,155500,151700,150200,145300,142500,134600,128500,123100,121000,114500,109400,102500,92900,86400,76300,64700,66200,72300,71200,73600,68000,58400
  55 - 59 Years,152800,146800,156600,161800,148900,142200,151200,147900,149800,141500,135600,135000,125600,115500,112800,113000,110700,101600,95500,85100,76400,61800,63100,66800,66500,68300,64300,61600,61200,58600,53600,53100,50100
  60 - 64 Years,149800,156900,147100,131000,141400,133300,131200,124800,123300,114000,109800,105000,99800,94100,80800,74500,67200,61100,65100,68300,66900,63100,57200,59200,52700,50200,48500,49700,48300,47900,47300,44000,41900
  65 Years & Over,359800,332500,336100,315300,296000,299800,274700,258700,259600,231300,218700,206900,192500,192300,180000,181900,179100,160300,161000,156900,141800,137300,129100,126200,124400,116900,112800,111300,100700,94700,91200,90100,90300
Total Females - Below Secondary,369800,362700,433400,426500,441500,464700,469900,454900,468700,472700,480100,491000,499600,518900,497600,538700,543900,524400,551400,554300,547300,545900,517300,552400,554700,563700,544400,531000,549700,547300,543400,540100,535200
  25 - 29 Years,2200,2800,3900,4000,4800,4200,5100,4900,4400,5900,5200,7000,7300,8100,7700,11100,11000,11700,13300,13700,15600,18100,19400,24300,25000,26800,26400,27800,36100,40100,45100,47900,51000
  30 - 34 Years,4200,4300,6600,6200,7300,6800,7800,7700,9200,7900,8800,12300,12600,14900,14600,18000,20900,22700,27100,26400,27400,30400,32500,40500,43800,48800,52700,51300,55500,57500,56600,60700,66600
  35 - 39 Years,8300,5800,10300,9500,10700,11600,12600,12000,12600,16100,19400,19900,23300,28700,25800,29100,31400,37100,39200,45900,51900,57800,51900,57400,57800,63900,63100,64200,69300,70200,70700,70200,73000
  40 - 44 Years,11000,9700,13800,16200,16300,19100,20700,20600,23100,25700,26600,31000,35300,41200,45000,50200,54800,54300,62200,61600,62400,67000,64400,70900,71500,76500,76100,69600,72800,73100,71600,73200,68900
  45 - 49 Years,18500,16400,22500,22700,27000,28100,31900,32500,35000,42700,46100,50800,54300,57700,56100,66500,68300,65500,69900,72600,73700,72200,68000,71300,75300,76000,74800,67200,65000,62300,58200,54900,50500
  50 - 54 Years,25900,22500,33400,37400,43800,46800,52100,52100,53000,57600,60200,60200,66000,70200,69000,76800,73900,71900,74700,74400,73500,70200,65500,62900,61100,57600,48200,49800,58200,57900,61500,57000,50900
  55 - 59 Years,38300,42400,52800,54100,52700,52800,62300,61100,63500,64600,66500,69000,69400,66500,66900,70900,72500,67600,65600,59600,54900,47900,47900,54100,55400,57100,52800,50800,53000,51700,47700,48100,46700
  60 - 64 Years,51400,57000,61300,56100,68400,69400,69400,64600,67300,66200,67300,66800,65500,65000,56300,53600,50800,47600,53100,55600,56000,53800,47700,51600,45900,45600,43600,45100,44900,44300,44700,41300,40100
  65 Years & Over,210000,201800,228900,220400,210500,225800,208000,199400,200700,186000,180000,174000,165900,166600,156200,162500,160300,145800,146300,144500,132000,128500,120000,119500,118800,111500,106800,105200,94900,90300,87400,86800,87500
Total Females - Secondary,271500,281300,269300,282800,285600,271900,281800,291800,285500,280600,281900,285100,268300,304800,307700,297800,291600,256800,270900,281900,287500,276300,255900,269800,264400,248300,250700,246200,230800,217400,215400,205300,191800
  25 - 29 Years,5300,5700,7400,8000,10000,9400,10400,10600,11100,11600,12300,14000,14800,18700,19700,21600,22500,20300,23800,26300,32000,36100,31900,41100,39300,44200,46600,43800,49600,47300,55300,54300,60700
  30 - 34 Years,10900,10900,11000,12000,13500,13200,14300,16500,14800,17800,18200,19000,20200,28000,29200,31300,35400,31100,37000,45900,46100,47600,43500,51900,55000,54400,57300,56100,57600,55700,57100,55800,54000
  35 - 39 Years,14100,15400,15300,17400,17200,19700,18500,22900,20000,22200,25300,27800,29200,40600,43400,43300,45200,42400,48100,51600,53100,54700,52500,53900,56500,54000,58300,53600,51400,47400,44100,40800,36500
  40 - 44 Years,20000,18800,18500,22400,23700,27700,30600,31900,30500,34800,39600,40900,40300,50500,52400,53700,52700,48100,51500,53800,58000,53700,49700,50800,50600,42100,41200,42700,35000,34200,32200,30200,22600
  45 - 49 Years,26600,29100,27800,31800,35900,35400,37800,40300,41100,45700,48700,48300,49300,54400,54300,57600,54100,46100,46700,44200,43600,38400,36900,37500,33700,29700,26400,26100,19800,16400,12700,10700,8500
  50 - 54 Years,32800,33200,38000,46700,48100,43200,48900,50000,53300,49400,50200,53100,46300,48100,48400,38700,38500,33600,31100,29900,27500,26400,22200,19800,15900,11400,9400,10200,8100,7900,6800,6600,4600
  55 - 59 Years,40600,44800,46400,50500,45800,44300,46400,47500,47200,42000,38400,40600,33300,31400,31100,27900,24200,20900,18000,15600,14100,8400,8400,6800,6500,6500,6000,6900,4200,4000,3300,3000,2000
  60 - 64 Years,45000,49000,44300,41100,41400,36500,36000,37800,34100,30200,27200,24200,20700,17600,15500,12700,8900,7400,6900,7700,6500,5300,5100,4200,3600,2700,2600,2800,1800,2000,1700,1600,1100
  65 Years & Over,76100,74500,60500,52800,50000,42300,39000,34300,33400,27000,22000,17400,14000,15300,13700,11000,10000,6800,7800,7000,6500,5800,5700,3800,3300,3400,2900,3900,3400,2500,2100,2300,1800
Total Females - Post Secondary (Non-Tertiary),147700,130000,138800,122400,117600,118200,110600,113200,107800,104700,107300,102900,112600,72800,71600,75300,74000,102800,73400,72800,70600,67700,91800,72100,71200,68000,65100,72700,59300,55700,53200,50100,36700
  25 - 29 Years,7900,8800,10900,8400,10100,8400,9400,9000,8400,9300,9600,8600,12000,5200,6100,6700,6500,10300,6800,7900,8500,10700,17300,14000,14900,16500,15800,17900,15900,13600,14100,13600,10500
  30 - 34 Years,9700,12100,11300,10900,10300,9800,8600,9800,10300,8800,9600,10100,12700,5800,6100,9100,9500,17500,13000,13400,14600,14300,18900,14000,14300,14600,13700,16200,13900,13500,13600,14300,11100
  35 - 39 Years,12200,11100,11900,10400,10000,11100,9400,11700,10000,10400,12700,15700,18900,11800,11800,12800,14200,19200,13100,14000,13800,11200,15500,14500,14400,12800,12300,14900,11500,10800,9500,9200,7100
  40 - 44 Years,10100,10600,11800,11200,11900,13900,13400,16300,15200,17200,16900,17200,18000,11000,13100,11900,12400,17700,11300,12900,12400,12900,15400,11700,11900,10500,8900,9200,6900,8200,7000,5800,4200
  45 - 49 Years,14600,13000,17500,17600,16500,17300,17400,17900,15200,14600,17600,16200,15600,13300,11800,12900,11700,15600,12600,10100,9900,8100,10600,7400,7400,6600,6200,6800,4500,3900,3700,2600,1600
  50 - 54 Years,18100,15400,18400,17800,16200,16500,15200,16000,16200,16800,17100,14300,14900,10800,10000,9700,8200,10100,6800,5800,5500,5600,7100,4600,4200,3100,3000,3100,3000,2900,2900,2500,1000
  55 - 59 Years,19300,16000,18200,16300,16200,15500,15600,13700,15100,13000,11200,9800,9600,6800,5300,5300,5500,5900,4900,4400,2800,2000,3100,3000,2200,2300,2800,2200,2000,1400,1200,900,500
  60 - 64 Years,21000,19700,17000,12700,11400,11900,10600,8600,7500,6900,6200,5100,5500,4300,3400,3000,2600,2700,1900,2000,1900,1700,2200,1500,1200,900,1400,1100,500,500,300,500,300
  65 Years & Over,34700,23500,21700,17000,14900,13900,11000,10100,9900,7600,6300,5800,5500,3800,4100,3900,3500,3900,3000,2300,1300,1100,1700,1400,700,800,1000,1300,1000,900,800,600,400
Total Females - Diploma & Professional Qualification,265100,239000,226700,225700,215400,207300,199700,200200,198200,183400,177300,166100,165100,149100,140500,131500,122400,126400,106900,99300,86100,84500,91200,69600,61400,49500,48000,40200,33200,28000,26900,21000,18900
  25 - 29 Years,26300,28500,31000,28000,29200,29700,28900,30000,27600,27400,28500,29200,32400,32000,32100,32100,31900,32800,30700,31300,26900,27700,28200,23200,20600,17500,16000,13400,11100,10000,9200,7300,6400
  30 - 34 Years,32200,35000,32200,30700,28700,28600,31500,32400,35100,32100,33100,33400,34900,30200,32300,31300,28800,30900,26900,24500,22800,21300,21500,18100,15900,12000,11200,10000,7900,6200,6000,5100,4400
  35 - 39 Years,35500,34400,33500,34300,37300,34400,33600,35300,35600,35200,33300,31300,32800,30400,27100,24900,21900,23400,18200,15900,14300,14600,15700,10900,9400,7800,7200,7400,5000,4400,4100,2800,2600
  40 - 44 Years,43800,37100,36300,35500,36200,35500,33600,34500,32700,30800,29400,24700,23800,21800,18400,17300,15400,15200,11800,9900,8800,8300,10900,7000,6800,4400,4800,3500,3200,2600,2600,1900,2100
  45 - 49 Years,42700,32700,32200,33200,29600,30400,25500,25100,24400,22800,20500,18600,16700,14000,12800,11400,10200,10500,8000,7100,5000,5500,6200,4100,3300,3400,3500,2900,2000,1500,1800,1700,1300
  50 - 54 Years,29000,23600,23400,24200,20300,18900,19200,18400,16400,15700,13900,12900,11100,9100,7800,6500,5200,5900,4500,4700,3300,3400,4300,2800,2300,2000,2200,1400,1400,1000,1400,1100,1000
  55 - 59 Years,22300,18800,15600,17800,16100,14000,11900,11700,11000,9200,8600,6900,5800,4300,3700,3700,3600,3900,3100,2600,2600,1600,2100,1400,1200,1000,1300,800,1100,800,700,500,600
  60 - 64 Years,15800,14200,10800,10400,8200,7100,7700,5800,7100,4500,4200,4100,3900,3800,3200,2500,2500,1800,1700,1500,1200,900,1300,1200,1000,700,500,400,600,700,500,300,300
  65 Years & Over,17600,14800,11600,11600,9700,8600,7800,6900,8300,5600,5800,5000,3600,3400,3200,1900,2900,2100,2000,1800,1300,1100,1000,900,700,700,1400,300,900,600,700,300,300
Total Females - University,552400,534200,496600,470500,440400,420500,398700,374800,362400,350000,320700,307300,288100,266400,246300,226300,212700,180500,172800,158600,140000,121200,105100,94100,87500,75500,69100,54300,49600,44500,37100,31400,28900
  25 - 29 Years,68500,83500,86900,77400,76000,72200,76900,67200,67100,63900,60200,61200,64700,60400,55500,52500,52800,48800,47000,46000,42500,37000,35000,31700,28400,24700,23500,18400,17300,15800,13400,12600,10900
  30 - 34 Years,99100,108400,94600,83800,79000,81500,80200,76800,78200,79100,75400,74900,72100,69500,64700,62500,56500,49400,44300,42000,39100,32200,27100,24800,21800,19800,18800,14700,12800,11500,10100,7400,7400
  35 - 39 Years,92400,93600,87600,88300,86300,84600,76600,77700,70500,72200,68700,65200,60400,57100,51700,45400,41200,34400,32200,28800,27200,23000,18800,15900,15400,12700,11000,9400,7900,6600,6200,4700,4700
  40 - 44 Years,94600,85100,78600,78000,73500,68900,62100,60800,56900,54400,50500,45100,38000,33300,32200,28100,27300,22400,22700,18000,13400,13300,11200,10200,9900,8600,7200,5400,5300,4900,3200,3400,3000
  45 - 49 Years,76900,63300,60700,61200,53200,51400,43800,39100,38300,33800,28600,27700,24400,21200,21000,16600,16400,11900,13300,11900,9000,7800,6400,5700,6000,5300,4200,3200,2700,2900,1900,1600,1400
  50 - 54 Years,50800,40500,37600,34400,31300,28700,27800,23600,23900,22800,17100,15000,13300,12000,10200,10800,8800,7000,6000,6200,4700,3900,3400,2900,2900,2200,2000,1700,1600,1600,1000,900,800
  55 - 59 Years,32200,24800,23600,23000,18100,15600,14900,13900,12900,12700,11000,8700,7500,6400,5800,5100,4800,3400,3800,2900,2000,1900,1600,1500,1200,1400,1300,800,1000,600,800,500,300
  60 - 64 Years,16500,17000,13700,10700,12000,8400,7600,7900,7300,6200,4800,4800,4200,3300,2400,2700,2300,1600,1600,1400,1200,1300,900,800,900,400,400,300,500,300,100,300,200
  65 Years & Over,21400,17900,13300,13600,10900,9200,8900,8000,7200,5000,4500,4700,3500,3300,2800,2600,2500,1700,1900,1400,800,800,800,700,900,500,800,500,500,300,300,100,200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data pertain to residents who were not attending educational institutions as full-time students and include those who were upgrading their qualifications through part-time courses.  For more information, please refer to the 'Population Trends' publication (www.singstat.gov.sg/publications/population/population-trends).  Data for 1990, 2000, 2010 and 2020 are based on the Census of Population while data for 1995, 2005 and 2015 are based on the General Household Survey.  Data for all other years are based on the Comprehensive June Labour Force Survey.  Survey estimates are subject to sampling variability.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highest Qualification Attained:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Highest Qualification Attained (HQA) refers to the highest grade or standard a person has passed or the highest level where a vocational/skill certificate, diploma, or degree is awarded. This is achieved either through full-time or part-time study in a structured educational programme. The Singapore Standard Educational Classification (SSEC) is used to classify persons by HQA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 08/03/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
